epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6276,4.9246,5.00476,4.36099,0,0,0,0,5.08151,4.98144,4.16318,0.00019225,0.00019225,0.00019225
2,136.376,4.81761,4.7992,4.27339,0,0,0,0,5.09458,5.01891,4.17477,0.000353363,0.000353363,0.000353363
3,192.712,4.58645,4.57748,4.2299,0,0,0,0,5.10984,5.06792,4.19184,0.000474888,0.000474888,0.000474888
4,244.989,4.60457,4.45541,4.18484,0,0,0,0,5.12011,5.10451,4.21431,0.000540607,0.000540607,0.000540607
5,298.044,4.30511,4.26121,4.08597,0,0,0,0,5.12787,5.12839,4.22894,0.000464476,0.000464476,0.000464476
6,364.298,4.24289,4.2371,4.06053,0.7798,0.00042,0.00037,8e-05,5.05722,5.00018,4.18334,0.000388345,0.000388345,0.000388345
7,433.781,4.26163,4.0572,3.99311,0.7845,0.01658,0.00549,0.00134,4.06081,4.15903,3.97425,0.000312214,0.000312214,0.000312214
8,496.561,4.15066,4.10754,3.96644,0.78515,0.02009,0.00458,0.00115,3.80262,3.88678,3.92059,0.000236083,0.000236083,0.000236083
9,561.145,4.0303,3.82888,3.88301,0.6741,0.02895,0.00463,0.0012,3.6178,3.69634,3.89018,0.000159952,0.000159952,0.000159952
10,639.427,3.89257,3.79199,3.87129,0.56318,0.01944,0.00513,0.00133,3.59118,3.66548,3.8782,8.3821e-05,8.3821e-05,8.3821e-05
